_id,_action,_visible,_lat,_lon
-127001,modify,true,-16.91304151971,145.75961423205
-127002,modify,true,-16.91286858332,145.75978729478
-127004,modify,true,-16.91286858332,145.76000650758
-127006,modify,true,-16.91303416072,145.76035647888
-127008,modify,true,-16.91331012273,145.76066030013
-127010,modify,true,-16.91368175092,145.76086797541
-127012,modify,true,-16.9138841224,145.76083336286
-127014,modify,true,-16.91394299407,145.76068337516
-127016,modify,true,-16.91394299407,145.76047185404
-127018,modify,true,-16.91377373799,145.76036417056
-127020,modify,true,-16.91360448175,145.76021033702
-127022,modify,true,-16.91348305871,145.76002958261
-127024,modify,true,-16.91344994332,145.75987959491
-127026,modify,true,-16.91333219967,145.7596796113
-127028,modify,true,-16.91328436629,145.7594296318
-127030,modify,true,-16.91317030203,145.75943732348
-127032,modify,true,-16.91312246861,145.75958346534
-127034,modify,true,-16.91310039164,145.75993343665
-127036,modify,true,-16.91343154588,145.7604680082
-127038,modify,true,-16.9137075073,145.76062568758
-127041,modify,true,-16.91383260968,145.75715674124
-127042,modify,true,-16.91367807144,145.75717981627
-127044,modify,true,-16.91357504587,145.75733749565
-127046,modify,true,-16.91348305871,145.75747594583
-127048,modify,true,-16.9137075073,145.75741825826
-127050,modify,true,-16.91389516084,145.75736826235
-127052,modify,true,-16.91386940449,145.75727596223
-127056,modify,true,-16.91433669784,145.75737210819
-127057,modify,true,-16.91513514128,145.75878353093
-127058,modify,true,-16.91541110021,145.7591604231
-127059,modify,true,-16.91532647285,145.75908735217
-127061,modify,true,-16.91553988091,145.75923349404
-127064,modify,true,-16.91664371183,145.76046416236
-127065,modify,true,-16.91653700845,145.76061030423
-127067,modify,true,-16.91641926673,145.76088335876
-127069,modify,true,-16.91659587929,145.76100642559
-127071,modify,true,-16.91654804674,145.76109103404
-127074,modify,true,-16.91605500281,145.76037570808
-127075,modify,true,-16.91612123267,145.76048723739
-127077,modify,true,-16.91614698871,145.76055646249
-127080,modify,true,-16.91623161571,145.76003342845
-127081,modify,true,-16.91646341989,145.76019110783
-127083,modify,true,-16.91664371183,145.76029109963
-127085,modify,true,-16.9168755155,145.76045262485
-127087,modify,true,-16.91696382158,145.76052569578
-127089,modify,true,-16.9170263717,145.76059492087
-127092,modify,true,-16.91759300124,145.76107565069
-127093,modify,true,-16.91780640673,145.76126794261
-127095,modify,true,-16.91798301799,145.76141408448
-127097,modify,true,-16.91801245318,145.76144100534
-127100,modify,true,-16.91604764393,145.76216786882
-127101,modify,true,-16.91616538589,145.76230631901
-127103,modify,true,-16.91618378306,145.76236400659
-127106,modify,true,-16.9162978455,145.76260244858
-127107,modify,true,-16.91623529514,145.7627447446
-127109,modify,true,-16.9163677547,145.76268321119
-127112,modify,true,-16.91693070681,145.76331777454
-127113,modify,true,-16.9170889218,145.76354852485
-127115,modify,true,-16.91722506018,145.76366390001
-127118,modify,true,-16.91801981198,145.76642521206
-127119,modify,true,-16.91789471238,145.76658673728
-127121,modify,true,-16.91775857449,145.76653674138
-127123,modify,true,-16.91781744494,145.76636752449
-127127,modify,true,-16.91824793457,145.76600216983
-127128,modify,true,-16.91813019391,145.7661290825
-127130,modify,true,-16.9183399194,145.7660290907
-127133,modify,true,-16.91712203655,145.76505609355
-127134,modify,true,-16.91736119846,145.76521377293
