_id,_action,_visible,_lat,_lon
-123154,modify,true,-16.91299434027,145.75485759186
-123155,modify,true,-16.91343919142,145.75521525524
-123157,modify,true,-16.91376427428,145.7554119701
-123159,modify,true,-16.91438021923,145.75589481567
-123161,modify,true,-16.91470530048,145.75614518004
-123163,modify,true,-16.91499616217,145.7562882454
-123165,modify,true,-16.91516725707,145.75644919392
-123167,modify,true,-16.9155778842,145.75678897414
-123169,modify,true,-16.91598851044,145.75707510485
-123171,modify,true,-16.91634780767,145.75734335238
-123173,modify,true,-16.91655312006,145.75746853457
-123175,modify,true,-16.91701507212,145.75782619795
-123177,modify,true,-16.91745991378,145.75813021183
-123179,modify,true,-16.91795608208,145.75850575839
-123181,modify,true,-16.91829826635,145.75872035642
-123183,modify,true,-16.91838557394,145.75880959561
-123186,modify,true,-16.91831537555,145.75908779372
-123187,modify,true,-16.91767369508,145.75987022654
-123189,modify,true,-16.91730152617,145.76036468733
-123191,modify,true,-16.9170030787,145.76074466052
-123193,modify,true,-16.91675843222,145.76106305159
-123195,modify,true,-16.91662155747,145.76127764962
-123253,modify,true,-16.91802721189,145.75943050784
-123287,modify,true,-16.91784731146,145.7596498858
-123331,modify,true,-16.91754747703,145.76006356995
-123413,modify,true,-16.91743953651,145.76018892879
-123542,modify,true,-16.91568849288,145.75823333097
-123543,modify,true,-16.91586239863,145.7583586898
-123545,modify,true,-16.9160782814,145.75852165629
-123547,modify,true,-16.91619821616,145.75859687159
-123549,modify,true,-16.91648605929,145.75882251749
-123551,modify,true,-16.91669594463,145.75897294809
-123553,modify,true,-16.91678589542,145.75903562751
-123555,modify,true,-16.91692381987,145.7591547184
-123557,modify,true,-16.91706774094,145.75924873753
-123559,modify,true,-16.9172236553,145.75939916813
-123561,modify,true,-16.91740355633,145.75951825902
-123563,modify,true,-16.91762543403,145.75970002933
-123565,modify,true,-16.91775746888,145.75976390721
-123569,modify,true,-16.91556256103,145.75935529254
-123570,modify,true,-16.91564051885,145.75947438343
-123572,modify,true,-16.9157844409,145.75958093844
-123574,modify,true,-16.91592236609,145.75968122551
-123576,modify,true,-16.91609627162,145.75980658434
-123578,modify,true,-16.91624619005,145.75992567524
-123580,modify,true,-16.91654002983,145.76011371349
-123582,modify,true,-16.91668395119,145.76025160821
-123584,modify,true,-16.91682787244,145.76033935939
-123586,modify,true,-16.91702576397,145.76049605793
-123588,modify,true,-16.91713513819,145.76057652693
-123591,modify,true,-16.91734958604,145.76076557943
-123593,modify,true,-16.91755347372,145.76091601003
-123595,modify,true,-16.91772737775,145.76107897651
-123597,modify,true,-16.91792526834,145.76125447888
-123599,modify,true,-16.91805719528,145.76136103389
-123601,modify,true,-16.91819511881,145.7614675889
-123603,modify,true,-16.91847696222,145.76171830657
-123605,modify,true,-16.91868084868,145.76188127306
-123607,modify,true,-16.91884875502,145.76202543572
-123609,modify,true,-16.91895069807,145.76188127306
-123611,modify,true,-16.91910061423,145.76168696686
-123613,modify,true,-16.91921455044,145.76153653626
-123615,modify,true,-16.91934047984,145.7613923736
-123617,modify,true,-16.91946640916,145.76121060329
-123619,modify,true,-16.919550362,145.7610915124
-123621,modify,true,-16.91969428106,145.7609410818
-123623,modify,true,-16.91976024392,145.76082825884
-123625,modify,true,-16.91985618387,145.76073423345
-123628,modify,true,-16.91998810946,145.76055873108
-123629,modify,true,-16.92010804174,145.76040830048
-123632,modify,true,-16.91997611623,145.76018265458
-123633,modify,true,-16.91968827844,145.75991940103
-123635,modify,true,-16.91956834589,145.75981911396
-123637,modify,true,-16.91944841327,145.75970629101
-123639,modify,true,-16.91932848057,145.75963107571
-123642,modify,true,-16.91906462837,145.75939289392
-123643,modify,true,-16.91892070883,145.75928007097
-123645,modify,true,-16.9188127691,145.75919231979
-123648,modify,true,-16.91864486274,145.75901681742
-123649,modify,true,-16.91835585665,145.75892736605
-123652,modify,true,-16.91846197356,145.7589760852
-123654,modify,true,-16.91852194019,145.75896981726
-123656,modify,true,-16.91857291182,145.75898862108
-123658,modify,true,-16.91871982995,145.759104578
-123660,modify,true,-16.91879178981,145.75915158757
-123662,modify,true,-16.91873781992,145.75906070241
-123664,modify,true,-16.91867485503,145.75894474549
-123666,modify,true,-16.91865686505,145.75888520004
-123668,modify,true,-16.91865686505,145.75880058283
-123670,modify,true,-16.91866885837,145.75870342973
-123672,modify,true,-16.91868385001,145.7586532862
-123674,modify,true,-16.91870625468,145.75858739084
-123676,modify,true,-16.91862688176,145.75864075031
-123678,modify,true,-16.91853693185,145.75868775988
-123680,modify,true,-16.91846797022,145.75869402782
-123682,modify,true,-16.91838401691,145.75867209002
-123684,modify,true,-16.91828207354,145.75866895605
-123686,modify,true,-16.91821572125,145.75866858891
-123689,modify,true,-16.9181610457,145.75863429958
-123692,modify,true,-16.91809005565,145.75858977876
-123697,modify,true,-16.91737595136,145.75807283014
-123699,modify,true,-16.9172176586,145.75829601039
-123701,modify,true,-16.91704975081,145.75852165629
-123703,modify,true,-16.9169358133,145.75868462277
-123705,modify,true,-16.91685785602,145.75880998161
-123707,modify,true,-16.91672915723,145.75899609126
-123710,modify,true,-16.91665396758,145.75909203899
-123712,modify,true,-16.91656401673,145.75921739782
-123714,modify,true,-16.91647406584,145.75932395283
-123716,modify,true,-16.91641409855,145.75944304372
-123718,modify,true,-16.91632414759,145.75958093844
-123720,modify,true,-16.91625818352,145.75970002933
-123722,modify,true,-16.9162042129,145.75975644081
-123724,modify,true,-16.91615055244,145.75984970346
