lat long
-16.913965 145.751901
-16.917760 145.755213
-16.926275 145.762469
-16.920152 145.770859
-16.918543 145.769527
-16.917848 145.770420
-16.916117 145.768993
-16.919061 145.765310
-16.915576 145.762464
-16.914409 145.764042
-16.910765 145.761406
-16.911663 145.760039
-16.909996 145.758644
-16.912818 145.754622
-16.913965 145.751901
