"","GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop","DayDeployed","DayCollected","DaysActive"
"41",35627,-16.91646,145.75845,"PP21",0,2013-01-02,2013-01-08,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6
"42",435,-16.91749,145.75932,"PP20-1",0,2013-01-02,2013-01-08,TRUE,8,10,8,8,0,0,10,10,0,0,1,7,6
"43",507,-16.91866,145.75994,"PP19",0,2013-01-02,2013-01-08,TRUE,7,4,7,7,0,0,4,4,0,0,1,7,6
"44",494,-16.91929,145.76012,"PP18",0,2013-01-02,2013-01-08,TRUE,7,15,7,7,0,0,15,15,0,0,1,7,6
"45",478,-16.91868,145.76137,"PP17",0,2013-01-02,2013-01-08,TRUE,3,2,3,3,0,0,2,2,0,0,1,7,6
"46",35611,-16.92006,145.76126,"PP16",0,2013-01-02,2013-01-08,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6
"47",44074,-16.92359,145.76091,"PP15-1",0,2013-01-02,2013-01-08,TRUE,1,0,1,1,0,0,NA,NA,NA,NA,1,7,6
"48",6511,-16.92036,145.76231,"PP14",0,2013-01-02,2013-01-08,TRUE,9,11,9,9,0,0,11,11,0,0,1,7,6
"49",12036,-16.92137,145.76194,"PP13",0,2013-01-02,2013-01-08,TRUE,6,2,6,6,0,0,2,2,0,0,1,7,6
"50",26687,-16.92112,145.76051,"PP12",0,2013-01-02,2013-01-08,TRUE,26,9,6,6,0,0,5,5,0,0,1,7,6
"51",23970,-16.9205,145.7664,"PP01",0,2013-01-02,2013-01-08,TRUE,13,0,13,13,0,0,NA,NA,NA,NA,1,7,6
"52",22950,-16.91897,145.76313,"PP25",0,2013-01-02,2013-01-08,TRUE,10,5,10,10,0,0,5,5,0,0,1,7,6
"53",67089,-16.91863,145.76443,"PP26",0,2013-01-02,2013-01-08,TRUE,20,11,20,20,0,0,11,11,0,0,1,7,6
