"GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop"
47457,"-16.91626","145.76032","PP24",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",3,1,,,,,,,,
22950,"-16.91897","145.76313","PP25",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",15,3,,,,,,,,
67089,"-16.91863","145.76443","PP26",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",2,12,,,,,,,,
21693,"-16.91975","145.76381","PP27",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",6,4,,,,,,,,
55377,"-16.91715","145.76301","PP28",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",2,4,,,,,,,,
53343,"-16.91735","145.76202","PP29",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",9,28,,,,,,,,
47501,"-16.91546","145.76033","PP30",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",1,0,,,,,,,,
507,"-16.91866","145.75994","PP19",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",3,3,,,,,,,,
26646,"-16.92096","145.76434","PP04",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",1,0,,,,,,,,
36629,"-16.92062","145.76477","PP03",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",4,2,,,,,,,,
13424,"-16.91982","145.7657","PP02",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",12,12,,,,,,,,
23970,"-16.9205","145.7664","PP01",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",21,26,,,,,,,,
643,"-16.92186","145.76408","PP05",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",3,3,,,,,,,,
427,"-16.91646","145.75903","PP22",0.00,30/10/2012 0:00:00,6/11/2012 0:00:00,"OK",0,2,,,,,,,,
47457,"-16.91626","145.76032","PP24",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",13,0,,,,,,,,
602,"-16.92344","145.76225","PP09",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",7,3,,,,,,,,
573,"-16.92339","145.76163","PP10",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",4,2,,,,,,,,
26687,"-16.92112","145.76051","PP12",0.00,6/11/2012 0:00:00,13/11/2012 0:00:00,"OK",1,0,,,,,,,,
