ID,gender,mateID,enzyme,age,gonoCycle,timeDeath,typeDeath,whereTrapped,motherID,fatherID,infStatus,releaseLoc,long,lat,gridID
1560,1,-1,0.9129586196504533,24,1,1,1,507,-1,-1,0,-1,145.75991742840532,-16.91871309081494,841
6696,1,-1,0.9678819580003619,21,1,1,1,507,-1,-1,0,-1,145.75991646352955,-16.918589293885063,842
11207,1,-1,0.38956011505797505,20,1,1,1,507,-1,-1,0,-1,145.76000221028556,-16.918631182982608,842
12121,1,-1,0.7372168903239071,20,1,1,1,507,-1,-1,0,-1,145.75992802108212,-16.918659272593246,841
13430,0,-1,0.6714783958159387,21,0,1,1,507,-1,-1,0,-1,145.76000526151117,-16.91864929634985,842
35,0,-1,0.2870224548969418,20,0,1,1,271,-1,-1,0,-1,145.75621513584846,-16.916031520995556,230
1179,0,-1,0.5585422632284462,20,0,1,1,271,-1,-1,0,-1,145.75628858972874,-16.91589739802776,261
4417,0,-1,0.3517211980652064,20,0,1,1,271,-1,-1,0,-1,145.75616068969777,-16.91586402920343,231
2156,1,-1,0.8763892708811909,20,1,1,1,900029,-1,-1,0,-1,145.76250263178048,-16.918022066271565,1388
2616,0,-1,0.5296030438039452,18,0,1,1,900029,-1,-1,0,-1,145.7624121195372,-16.91794682287363,1388
14548,1,-1,0.04767848225310445,18,0,1,1,900029,-1,-1,0,-1,145.76243704959853,-16.91802700497421,1388
1178,0,-1,0.5359078720211983,18,0,1,1,309,-1,-1,0,-1,145.7568028742122,-16.914530870548003,330
8151,0,-1,0.26603987044654787,19,0,1,1,309,-1,-1,0,-1,145.75679467302007,-16.91457938718746,330
8903,1,-1,0.20566892297938466,19,0,1,1,309,-1,-1,0,-1,145.75673397702005,-16.914511610269187,297
3629,1,-1,0.7868486451916397,20,1,1,1,3543,-1,-1,0,-1,145.7639841261002,-16.924049008030394,1641
5186,0,-1,0.08492753328755498,20,0,1,1,3543,-1,-1,0,-1,145.76398209494317,-16.92410032187045,1641
11004,1,-1,0.6656116880476475,18,0,1,1,3543,-1,-1,0,-1,145.76398355495473,-16.923971971090133,1641
11780,0,-1,0.22700702608563006,21,0,1,1,3543,-1,-1,0,-1,145.7639266267899,-16.92396567148602,1641
1069,0,-1,0.5839858010876924,20,0,1,1,13424,-1,-1,0,-1,145.7656840656059,-16.919778919341244,1835
4169,0,-1,0.10422149719670415,19,0,1,1,13424,-1,-1,0,-1,145.76578519511773,-16.91988380722571,1854
9704,1,-1,0.3919924341607839,20,1,1,1,13424,-1,-1,0,-1,145.76561141809026,-16.9198417835564,1835
332,1,-1,0.9280989053659141,20,1,1,1,44074,-1,-1,0,-1,145.76093663785863,-16.923526675789592,1024
4389,1,-1,0.0419566051568836,20,1,1,1,44074,-1,-1,0,-1,145.760909348543,-16.923594809780454,1024
7830,0,-1,0.042125214356929064,20,0,1,1,44074,-1,-1,0,-1,145.760876383105,-16.923510426118646,1024
12960,1,-1,0.43014639243483543,20,1,1,1,44074,-1,-1,0,-1,145.76090218265864,-16.92355683055824,1024
2281,1,-1,0.3078294617589563,21,1,1,1,6511,-1,-1,0,-1,145.76239484805419,-16.920372513685628,1379
7867,0,-1,0.30454106722027063,21,0,1,1,6511,-1,-1,0,-1,145.76223570642796,-16.920334254388305,1322
7997,1,-1,0.7279917241539806,16,0,1,1,6511,-1,-1,0,-1,145.762299478677,-16.920290876735063,1379
11636,0,-1,0.6956035380717367,22,0,1,1,6511,-1,-1,0,-1,145.76228563343628,-16.92027961344919,1379
12195,1,-1,0.2087501185014844,18,0,1,1,6511,-1,-1,0,-1,145.7623557676427,-16.92036515173519,1379
14477,1,-1,0.8209023224189878,20,1,1,1,6511,-1,-1,0,-1,145.76240493165102,-16.920290792749228,1379
1055,1,-1,0.3293986953794956,24,1,1,1,12036,-1,-1,0,-1,145.76200120690854,-16.92138244075134,1260
5794,1,-1,0.3342611840926111,21,1,1,1,12036,-1,-1,0,-1,145.76190348271635,-16.921395282569225,1260
14464,1,-1,0.9847964681684971,17,0,1,1,12036,-1,-1,0,-1,145.76189796871074,-16.921334753923883,1260
14654,1,-1,0.26597516518086195,21,1,1,1,12036,-1,-1,0,-1,145.7620072417589,-16.921418558195754,1259
